,OrgPos,Page,KeyFrom,NodeFrom,Edge,NodeTo,KeyTo
25,25.0,,25,Head not suddenly wider nor cap-like,Head not suddenly wider nor cap-like,Habitat marine; cephalic setae and spinneret present,33
26,26.0,,33,Habitat soil about roots,Habitat soil about roots,Spinneret absent; lips not long nor revolute; cephalic setae 0,28
27,27.0,,28,"Spinneret present; lips 6, long, revolute, flower-like; ii.mph. semicircular; wings 2;' 9' ","Spinneret present; lips 6, long, revolute, flower-like; ii.mph. semicircular; wings 2;' 9' ",Anthonema Cobb 1906,Anthonema Cobb 1906
28,28.0,,28,Spinneret absent; lips not long nor revolute; cephalic setae 0,Spinneret absent; lips not long nor revolute; cephalic setae 0,"Wings absent, striae not interrupted",30
29,29.0,,30,"Wings pres.:oesoph. ±cephaloboid;striae ±coarse;amph. transverse,i head-width;' 9 ","Wings pres.:oesoph. ±cephaloboid;striae ±coarse;amph. transverse,i head-width;' 9 ",lotalaimw Cobb 1920,lotalaimw Cobb 1920
30,30.0,,30,"Wings absent, striae not interrupted","Wings absent, striae not interrupted","Ceph. papill. tiny; amph. inconspic.,2 head-widths back;tail 6-12%, slender,conoid",32
31,31.0,,32,"Ceph. papill.6, conspic. ;amph.crescentic,head-width back;tail 3%, rounded; d' only ","Ceph. papill.6, conspic. ;amph.crescentic,head-width back;tail 3%, rounded; d' only ",Bolbinium Cobb 1920,Bolbinium Cobb 1920
32,32.0,,32,"Ceph. papill. tiny; amph. inconspic.,2 head-widths back;tail 6-12%, slender,conoid ","Ceph. papill. tiny; amph. inconspic.,2 head-widths back;tail 6-12%, slender,conoid ",Alaimus de Man 1880,Alaimus de Man 1880
33,33.0,,33,Habitat marine; cephalic setae and spinneret present,Habitat marine; cephalic setae and spinneret present,Ambulatory & body setae pres.; amph. crook-shape to spiral; nema ±S-shaped; • 9',37
34,34.0,,37,Ambulatory & body setae absent; nema not crooked,Ambulatory & body setae absent; nema not crooked,"Wings 0; amph. a tranverse slit, at lips; pores lateral; nema ±2 mm.; d' only .. .",36
35,35.0,,36,"Wings pres.; amph. shepherd's crook; annules under 300, of tile-like elements;' 9' ","Wings pres.; amph. shepherd's crook; annules under 300, of tile-like elements;' 9' ",Ceramonema Cobb 1920 (cf. Pselionema Cobb 1933),Ceramonema Cobb 1920 (cf. Pselionema Cobb 1933)
36,36.0,,36,"Wings 0; amph. a tranverse slit, at lips; pores lateral; nema ±2 mm.; d' only .. . ","Wings 0; amph. a tranverse slit, at lips; pores lateral; nema ±2 mm.; d' only .. . ",Leptonemella Cobb 1920,Leptonemella Cobb 1920
37,37.0,,37,Ambulatory & body setae pres.; amph. crook-shape to spiral; nema ±S-shaped; • 9',Ambulatory & body setae pres.; amph. crook-shape to spiral; nema ±S-shaped; • 9',"Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",39
38,38.0,,39,Oesoph. region hardly swollen; card. bulb faint; cerv. striae alike .... . ,Oesoph. region hardly swollen; card. bulb faint; cerv. striae alike .... . ,Notochaetoaoma Irwin-Smith 1918,Notochaetoaoma Irwin-Smith 1918
39,39.0,,39,"Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum","Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",Ventral ambulatory adhesion tubes or setae in 2 rows . ......... . ......... . .. .. .,41
40,40.0,,41,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows ................ ,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows ................ ,Triaticochaeta Panceri 1878 (-Draconema Cobb 1913),Triaticochaeta Panceri 1878 (-Draconema Cobb 1913)
41,41.0,,41,Ventral ambulatory adhesion tubes or setae in 2 rows . ......... . ......... . .. .. .,Ventral ambulatory adhesion tubes or setae in 2 rows . ......... . ......... . .. .. ., Drepanonema Cobb 1033 (=Chaetoaoma Clap. 1863), Drepanonema Cobb 1033 (=Chaetoaoma Clap. 1863)
42,42.0,,42,"External amphid spiral, circular or elliptical","External amphid spiral, circular or elliptical",Female known,60
43,43.0,,60,"Female not known; J only, exc. Bolbinium","Female not known; J only, exc. Bolbinium",Annules 0 or not prominent; subdorsal setae 0; amphid not saccate; nema under 5% wide,45
44,44.0,,45,"Annules ~90, prominent; subdorsal setae 9 prs.; amph. saccate; nema 10%+ wide ","Annules ~90, prominent; subdorsal setae 9 prs.; amph. saccate; nema 10%+ wide ",Eudesmoscolex Steiner 1916,Eudesmoscolex Steiner 1916
45,45.0,,45,Annules 0 or not prominent; subdorsal setae 0; amphid not saccate; nema under 5% wide,Annules 0 or not prominent; subdorsal setae 0; amphid not saccate; nema under 5% wide,Spinneret present,49
46,46.0,,49,"Spinneret absent; cephalir, setae 0; in soil","Spinneret absent; cephalir, setae 0; in soil",Cephalic papillae O or inconspicuous; wings double; oesophagus ±cephaloboid ..... .,48
47,47.0,,48,"Cephalic papillae 6, conspicuous, each on circular base ............................ . ","Cephalic papillae 6, conspicuous, each on circular base ............................ . ",Bolbinium Cobb 1920,Bolbinium Cobb 1920
48,48.0,,48,Cephalic papillae O or inconspicuous; wings double; oesophagus ±cephaloboid ..... .,Cephalic papillae O or inconspicuous; wings double; oesophagus ±cephaloboid ..... ., Litonema Cobb 1920, Litonema Cobb 1920
49,49.0,,49,Spinneret present,Spinneret present,"Wings 0, striae not interrupted laterally",51
50,50.0,,51,"Wings single, projecting; az;nphid almost neck width, barely longer than broad ...... ","Wings single, projecting; az;nphid almost neck width, barely longer than broad ...... ",Antomicron Cobb 1920,Antomicron Cobb 1920
51,51.0,,51,"Wings 0, striae not interrupted laterally","Wings 0, striae not interrupted laterally",Pharynx without basal cuticularized ring; cephalic setae in circlets of 4,53
52,52.0,,53,Pharynx with basal cuticularized ring; amphid monospire .................. ,Pharynx with basal cuticularized ring; amphid monospire .................. ,(Cricolaimus Southern 1914),(Cricolaimus Southern 1914)
53,53.0,,53,Pharynx without basal cuticularized ring; cephalic setae in circlets of 4,Pharynx without basal cuticularized ring; cephalic setae in circlets of 4,Amphid circular or elliptical,55
54,54.0,,55,"Amphid spiral, of 2 winds .................................................... ","Amphid spiral, of 2 winds .................................................... ",(Alaimonema Cobb 1920),(Alaimonema Cobb 1920)
55,55.0,,55,Amphid circular or elliptical,Amphid circular or elliptical,"Head set off by lack of annules, if at all; oeph. set. many; amph. small, at lips; neck 2%",57
56,56.0,,57,"Head set off by constriction, spherical; cephalic setae 4; amphid on neck ...... .","Head set off by constriction, spherical; cephalic setae 4; amphid on neck ...... .", Cinctonema Cobb 1920, Cinctonema Cobb 1920
57,57.0,,57,"Head set off by lack of annules, if at all; oeph. set. many; amph. small, at lips; neck 2%","Head set off by lack of annules, if at all; oeph. set. many; amph. small, at lips; neck 2%",Cuticle with annules exc. on head; pharnyx obscure; nema 10 mm ........ ....,59
58,58.0,,59,Cuticle without annulee; head not set off; pharnyx definite; nema 3-4 mm .....,Cuticle without annulee; head not set off; pharnyx definite; nema 3-4 mm ....., (Catanema Cobb 1920), (Catanema Cobb 1920)
59,59.0,,59,Cuticle with annules exc. on head; pharnyx obscure; nema 10 mm ........ .... ,Cuticle with annules exc. on head; pharnyx obscure; nema 10 mm ........ .... ,Laxonema Cobb 1920,Laxonema Cobb 1920
60,60.0,,60,Female known,Female known,Ovaries 2,66
61,61.0,,66,Ovary 1: spinneret none; wings 0; cephalic setae 0 or papilloid,Ovary 1: spinneret none; wings 0; cephalic setae 0 or papilloid,"Gonad 9 anterior, outstretched",63
62,62.0,,63,"Gonad 9 posterior, reflexed; amphid ±obscure; cardiac swelling slight; in soil. .....","Gonad 9 posterior, reflexed; amphid ±obscure; cardiac swelling slight; in soil. .....", (Alaimus de Man 1880), (Alaimus de Man 1880)
63,63.0,,63,"Gonad 9 anterior, outstretched","Gonad 9 anterior, outstretched",Habitat soil; oesophagus with median bulb; bursa present ....................... .,65
64,64.0,,65,"Habitat marine; anterior oesophagua fusiform, cardiac bulb massive ........... ","Habitat marine; anterior oesophagua fusiform, cardiac bulb massive ........... ",(Solenolaimus Cobb 1894),(Solenolaimus Cobb 1894)
65,65.0,,65,Habitat soil; oesophagus with median bulb; bursa present ....................... . ,Habitat soil; oesophagus with median bulb; bursa present ....................... . ,Iotonchium Cobb 1920 (=Hemicycliophora de Man 1921),Iotonchium Cobb 1920 (=Hemicycliophora de Man 1921)
66,66.0,,66,Ovaries 2,Ovaries 2,,
67,67.0,,86,Gonads 9 outstretched; cephalic 11etae present; marine (for alternative see next page),Gonads 9 outstretched; cephalic 11etae present; marine (for alternative see next page),,
68,68.0,,73,Spinneret doubtful or absent; striae very tiny or seen with difficulty,Spinneret doubtful or absent; striae very tiny or seen with difficulty,Cephalic setae 4 or 8; amphid circular,70
69,69.0,,70,"Cephalic setae 10, subcephalic 4: amphid multispire ........................... ","Cephalic setae 10, subcephalic 4: amphid multispire ........................... ",(Laimella Cobb 1920),(Laimella Cobb 1920)
70,70.0,,70,Cephalic setae 4 or 8; amphid circular,Cephalic setae 4 or 8; amphid circular,"Pharynx obconoid; cardiac bulb pyriform, sometimes valvate ............",72
71,71.0,,72,"Pharynx none; cardiac bulb broad, valvate; tail setaceous .................. ","Pharynx none; cardiac bulb broad, valvate; tail setaceous .................. ",Tershellingia de Man 1888,Tershellingia de Man 1888
72,72.0,,72,"Pharynx obconoid; cardiac bulb pyriform, sometimes valvate ............","Pharynx obconoid; cardiac bulb pyriform, sometimes valvate ............", (Cryptolaimus Cobb 1933), (Cryptolaimus Cobb 1933)
73,73.0,,73,Spinneret present,Spinneret present,Length of amphid not much greater than its width,75
74,74.0,,75,"Length of oval monospiral amphid twice its width, equalling head width ....... . ","Length of oval monospiral amphid twice its width, equalling head width ....... . ",Diaconema Fil. 1918,Diaconema Fil. 1918
75,75.0,,75,Length of amphid not much greater than its width,Length of amphid not much greater than its width,"Gland ducts and pores 0; striae fine, usually plain",77
76,76.0,,77,"Gland ducts outicularized, pores ventrad, ovary. & pre-anal; striae coarse ","Gland ducts outicularized, pores ventrad, ovary. & pre-anal; striae coarse ",Halaphanolaimus Southern 1914,Halaphanolaimus Southern 1914
77,77.0,,77,"Gland ducts and pores 0; striae fine, usually plain","Gland ducts and pores 0; striae fine, usually plain",Oesophagus not narrowed; cephalic setae present; wings 0,79
78,78.0,,79,Oesophagus narrowed from middle; cephalic setae 4; amp hid large; head narrowed ,Oesophagus narrowed from middle; cephalic setae 4; amp hid large; head narrowed ,Cyartonema Cobb 1920,Cyartonema Cobb 1920
79,79.0,,79,Oesophagus not narrowed; cephalic setae present; wings 0,Oesophagus not narrowed; cephalic setae present; wings 0,"Setae on head 4-8, leBB thanl head-width long, tip not specialized; amphid circular",81
80,80.0,,81,"Setae on head to, 4 short specialized at tip; cardiac swelling slight ...... , ..... ","Setae on head to, 4 short specialized at tip; cardiac swelling slight ...... , ..... ",(Linhomoella Cobb 1920),(Linhomoella Cobb 1920)
81,81.0,,81,"Setae on head 4-8, leBB thanl head-width long, tip not specialized; amphid circular","Setae on head 4-8, leBB thanl head-width long, tip not specialized; amphid circular",Pharynx present though obscure,83
82,82.0,,83,"Pharynx 0; nema small, tapered; card. bulb broad, valvate; tail setaceous .. ","Pharynx 0; nema small, tapered; card. bulb broad, valvate; tail setaceous .. ",Terschellingia de Man 1888,Terschellingia de Man 1888
83,83.0,,83,Pharynx present though obscure,Pharynx present though obscure,"Ceph. set. 4; cardiac bulb pyriform, sometimes valvate; pharynx obcon01d",85
84,84.0,,85,"Ceph. set. 8-10; card. swellinit none or clavate, non-valvate; nema not tapered","Ceph. set. 8-10; card. swellinit none or clavate, non-valvate; nema not tapered"," Linhomoeus Bast, 1865"," Linhomoeus Bast, 1865"
85,85.0,,85,"Ceph. set. 4; cardiac bulb pyriform, sometimes valvate; pharynx obcon01d ","Ceph. set. 4; cardiac bulb pyriform, sometimes valvate; pharynx obcon01d ",(Cryptolaimus Cobb 1933),(Cryptolaimus Cobb 1933)
86,86.0,,86,"Gonads ?  reflexed; amphid circular, oval or monospiral (for alternative see preceding page)","Gonads ?  reflexed; amphid circular, oval or monospiral (for alternative see preceding page)",Spinneret present; marine exc.,88
87,87.0,,88,"Spinneret none; amphid a pore at lips; ceph. set. 2, minute; in•beetle larvae …","Spinneret none; amphid a pore at lips; ceph. set. 2, minute; in•beetle larvae …", (Neoaplectana Steiner 1929), (Neoaplectana Steiner 1929)
88,88.0,,88,Spinneret present; marine exc. ,Spinneret present; marine exc. ,Haliplectus,Haliplectus
89,89.0,,106,Ambulatory setae 0; nema not crooked; calvarium absent; or not truncate-conoid,Ambulatory setae 0; nema not crooked; calvarium absent; or not truncate-conoid,Med. oes. bulb absent; marine,91
90,90.0,,91,Med. oes. bulb pres.; ceph. set. 0; pores in submed. rows; water & brackish soil..,Med. oes. bulb pres.; ceph. set. 0; pores in submed. rows; water & brackish soil..,(Haliplectus Cobb 1913),(Haliplectus Cobb 1913)
91,91.0,,91,Med. oes. bulb absent; marine,Med. oes. bulb absent; marine,,
92,92.0,,93,"Gland ducts cuticularized, pores cerv. & pre-anal; striae coarse ... ","Gland ducts cuticularized, pores cerv. & pre-anal; striae coarse ... ",(Halaphanolaimus Southern 1914),(Halaphanolaimus Southern 1914)
93,93.0,,93,Gland ducts and pores none or not cuticularized,Gland ducts and pores none or not cuticularized,Head not expanded,95
94,94.0,,95,Head expanded opposite monospiral amphid; cephalic setae 4 ................. . ,Head expanded opposite monospiral amphid; cephalic setae 4 ................. . ,Bolbonema Cobb 1920,Bolbonema Cobb 1920
95,95.0,,95,Head not expanded,Head not expanded,Cephalic setae present; often in coastal sand,97
96,96.0,,97,Cephalic eetae 0; wings 0; head narrowed from amphid forward ....... ,Cephalic eetae 0; wings 0; head narrowed from amphid forward ....... ,Aeoialoalaimus de Man 1907,Aeoialoalaimus de Man 1907
97,97.0,,97,Cephalic setae present; often in coastal sand,Cephalic setae present; often in coastal sand,"Amphid ±equidiametral, less than½ corresponding neck width",99
98,98.0,,99,"Amphid oval, 1 head-width long; annules fine; wing single; ceph. set. 4..","Amphid oval, 1 head-width long; annules fine; wing single; ceph. set. 4..",Eutelolaimus de Man 1922,Eutelolaimus de Man 1922
99,99.0,,99,"Amphid ±equidiametral, less than½ corresponding neck width","Amphid ±equidiametral, less than½ corresponding neck width",Neck 7% or Iese; striae not duplex; wings 0,101
100,100.0,,101,"Neck 21%; striae duplex; wings 2; ceph. setae 4; pharynx narrow, inconspicuous ","Neck 21%; striae duplex; wings 2; ceph. setae 4; pharynx narrow, inconspicuous ",Aplectus Cobb 1914,Aplectus Cobb 1914
101,101.0,,101,Neck 7% or Iese; striae not duplex; wings 0,Neck 7% or Iese; striae not duplex; wings 0,"Cuticle finely striated; amphid ¼ to ½ head-width, often monospiral",103
102,102.0,,103,"Cuticle annulated; amph. small, at lips; set. on head many, in circles of 4..","Cuticle annulated; amph. small, at lips; set. on head many, in circles of 4..",(Stilbonema Cobb 1920),(Stilbonema Cobb 1920)
103,103.0,,103,"Cuticle finely striated; amphid ¼ to ½ head-width, often monospiral","Cuticle finely striated; amphid ¼ to ½ head-width, often monospiral","Pharynx conoid, often with small onchium; nema 2-4 mm.; width 1.5-3.5%",105
104,104.0,,105,"Pharynx etraight,closed,with pharyng.swelling; nema 4-7 mm.; width 0.3--0.8% ","Pharynx etraight,closed,with pharyng.swelling; nema 4-7 mm.; width 0.3--0.8% ",Laxus Cobb 1894,Laxus Cobb 1894
105,105.0,,105,"Pharynx conoid, often with small onchium; nema 2-4 mm.; width 1.5-3.5% ","Pharynx conoid, often with small onchium; nema 2-4 mm.; width 1.5-3.5% ",Spirina Fil. 1918 (=Spira Bast. 1865),Spirina Fil. 1918 (=Spira Bast. 1865)
106,106.0,,106,"Ambulatory set. forming a ventral sole, midbody or pre-anal; nema crooked; calvarium unstriated","Ambulatory set. forming a ventral sole, midbody or pre-anal; nema crooked; calvarium unstriated","Nema narrowest midway, epsilon-shaped; ambulatory setae not open at end; annules coarser",112
107,107.0,,112,"Nema narrowest in cardiac region, ±S-shaped; ambulatory setae hollow, pre-anal; annulee finer","Nema narrowest in cardiac region, ±S-shaped; ambulatory setae hollow, pre-anal; annulee finer","Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",109
108,108.0,,109,Oesoph. region hardly swollen; card. bulb faint; cervical striae alike .. . ,Oesoph. region hardly swollen; card. bulb faint; cervical striae alike .. . ,Notochaetosoma Irwin-Smith 1918,Notochaetosoma Irwin-Smith 1918
109,109.0,,109,"Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum","Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",Ventral ambulatory adhesion tubes or setae in 2 rows ........................,111
110,110.0,,111,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows ................. ,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows ................. ,"Tristicochr,.eta Panceri 1878 (=Droconema Cobb 1913)","Tristicochr,.eta Panceri 1878 (=Droconema Cobb 1913)"
111,111.0,,111,Ventral ambulatory adhesion tubes or setae in 2 rows ........................ ,Ventral ambulatory adhesion tubes or setae in 2 rows ........................ ,Drepanonema Cobb 1933 (=Chaetosoma Clap.1863),Drepanonema Cobb 1933 (=Chaetosoma Clap.1863)
112,112.0,,112,"Nema narrowest midway, epsilon-shaped; ambulatory setae not open at end; annules coarser","Nema narrowest midway, epsilon-shaped; ambulatory setae not open at end; annules coarser",Sole present; amphid circular or monospiral,114
113,113.0,,114,Sole apparently absent; amphid crescentic; annules 98 ..................... . ,Sole apparently absent; amphid crescentic; annules 98 ..................... . ,Epsilonella Steiner 1930,Epsilonella Steiner 1930
114,114.0,,114,Sole present; amphid circular or monospiral,Sole present; amphid circular or monospiral,Oesophagus with cardiac bulb only,116
115,115.0,,116,Oesophagus with median and cardiac bulbs ............................. . ,Oesophagus with median and cardiac bulbs ............................. . ,Metepsilonema Steiner 1927,Metepsilonema Steiner 1927
116,116.0,,116,Oesophagus with cardiac bulb only,Oesophagus with cardiac bulb only,Annules 144-192; ambulatory setae straight or slightly arcuate,118
117,117.0,,118,"Annules 80-112; ambulatory setae slender, falcate-.-- .................. . ","Annules 80-112; ambulatory setae slender, falcate-.-- .................. . ",Bathyepsilonema Steiner 1927,Bathyepsilonema Steiner 1927
118,118.0,,118,Annules 144-192; ambulatory setae straight or slightly arcuate,Annules 144-192; ambulatory setae straight or slightly arcuate,"Body epsilon-like, i.e. body arches well developed",120
119,119.0,,120,"Body cylindroid, if crooked faintly so ............................ .•. ","Body cylindroid, if crooked faintly so ............................ .•. ",Archepsilonema Steiner 1927,Archepsilonema Steiner 1927
120,120.0,,120,"Body epsilon-like, i.e. body arches well developed","Body epsilon-like, i.e. body arches well developed",Cuticular annules not homogeneous in structure,122
121,121.0,,122,Cuticular annules homogeneous in structure ............. . ,Cuticular annules homogeneous in structure ............. . ,Prochaetosoma Baylis & Daubney 1926 ( =Rhabdooaster Metsch. 1867),Prochaetosoma Baylis & Daubney 1926 ( =Rhabdooaster Metsch. 1867)
122,122.0,,122,Cuticular annules not homogeneous in structure,Cuticular annules not homogeneous in structure,"Axial part of the cuticular annules vacuolated, etc ................. .",124
123,123.0,,124,"Axial part of the cuticular annules hollow (""frame rings"") .......... . ","Axial part of the cuticular annules hollow (""frame rings"") .......... . ",Epsilonema Steiner 1927,Epsilonema Steiner 1927
124,124.0,,124,"Axial part of the cuticular annules vacuolated, etc ................. . ","Axial part of the cuticular annules vacuolated, etc ................. . ",Epsilonoidea Steiner 1931,Epsilonoidea Steiner 1931
125,125.0,,2,"Oesophagus plain, i.e. without median or posterior bulb or swelling (for alternative see preceding page)","Oesophagus plain, i.e. without median or posterior bulb or swelling (for alternative see preceding page)",Amphid known (for alternative see preceding page),181
126,126.0,,181,Amphid not known or obscure (for alternative see next page),Amphid not known or obscure (for alternative see next page),Female known,136
127,127.0,,136,Female not known,Female not known,Habitat marine,129
128,128.0,,129,Habitat freshwater marshes; setae O; spinneret none; neck 15-25%; wings double,Habitat freshwater marshes; setae O; spinneret none; neck 15-25%; wings double, Macroposthonia de Man 1880, Macroposthonia de Man 1880
129,129.0,,129,Habitat marine,Habitat marine,"Neck 16-43%, ±tapering; tail conoid",131
130,130.0,,131,"Neck 8%, cylindroid; cephalic setae 4(?); tail cylindroid ............................ . ","Neck 8%, cylindroid; cephalic setae 4(?); tail cylindroid ............................ . ",Nuadella Ailgen 1927,Nuadella Ailgen 1927
131,131.0,,131,"Neck 16-43%, ±tapering; tail conoid","Neck 16-43%, ±tapering; tail conoid",Spinneret present; eyes with lenses; neck 16-25%,133
132,132.0,,133,Spinneret absent; eyes O; neck ±40%; cephalic setae 4 or 8 ................... ,Spinneret absent; eyes O; neck ±40%; cephalic setae 4 or 8 ................... ,(Halalaimoides Cobb 1933),(Halalaimoides Cobb 1933)
133,133.0,,133,Spinneret present; eyes with lenses; neck 16-25%,Spinneret present; eyes with lenses; neck 16-25%,Cephalic setae 10; striae none; amphid and setae very large; adult r:J' only .... .,135
134,134.0,,135,Cephalic eetae 4; head set off by cessation of very fine striation ..................... . ,Cephalic eetae 4; head set off by cessation of very fine striation ..................... . ,Nemella Cobb 1920,Nemella Cobb 1920
135,135.0,,135,Cephalic setae 10; striae none; amphid and setae very large; adult r:J' only .... . ,Cephalic setae 10; striae none; amphid and setae very large; adult r:J' only .... . ,Enchelidium Ehrenb. 1836 ( =Lasiomitus Marion 1870 =Parasrmplocostoma Schulz 1932),Enchelidium Ehrenb. 1836 ( =Lasiomitus Marion 1870 =Parasrmplocostoma Schulz 1932)
136,136.0,,136,Female known,Female known,Ovaries 2; spinneret present exc. Micoletzkyia (for alternative see preceding page),158
137,137.0,,158,"Ovary 1, anterior exc. Antopus & Thalassoalaimus (for alternative see next pa,e)","Ovary 1, anterior exc. Antopus & Thalassoalaimus (for alternative see next pa,e)","Gonad ? reflexed; spinneret none, exc.",139
138,138.0,,139,"Gonad ? outstretched; setae 4, papilloid; amphid minute, open caudad; marine algae ... ","Gonad ? outstretched; setae 4, papilloid; amphid minute, open caudad; marine algae ... ",(Litotes Cobb 1920),(Litotes Cobb 1920)
139,139.0,,139,"Gonad ? reflexed; spinneret none, exc. ","Gonad ? reflexed; spinneret none, exc. ",Antopus & Thalassoalaimus,Antopus & Thalassoalaimus
140,140.0,,143,Cephalic setae 6; posterior ovary longer than anterior; marine,Cephalic setae 6; posterior ovary longer than anterior; marine,Pores none ................................................................,142
141,141.0,,142,Pores in dorso-lateral rows ..............................................•............ ,Pores in dorso-lateral rows ..............................................•............ ,Antopua Cobb 1933,Antopua Cobb 1933
142,142.0,,142,Pores none ................................................................ ,Pores none ................................................................ ,Thalassoalaimus de Man 1893,Thalassoalaimus de Man 1893
